"taxa_id","Kingdom","Phylum","Class","Clade","Orders","Family","Genus","Species","common_name","RecordsWithDenominators","NeoplasiaWithDenominators","NeoplasiaPrevalence","X.","MalignancyKnown","Malignant","MalignancyPrevalence","PropMalignant","Benign","BenignPrevalence","PropBenign","X..","RecordsFromAllSources","NeoplasiaFromAllSources","Necropsies","X.Sources","X...","female_maturity.months.","male_maturity.months.","Gestation.months.","Weaning.months.","Infancy.months.","litter_size","litters_year","interbirth_interval","birth_weight.g.","weaning_weight.g.","adult_weight.g.","growth_rate.1.days.","max_longevity.months.","metabolic_rate","SE_simple"
737,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Viperidae","Bothriechis","Bothriechis schlegelii","Bothriechis schlegelii",25,2,0.08,"-",7,2,0.08,0.285714286,0,0,0.714285714,"-",30,7,25,13,"-",-1,-1,-1,-1,7.713650453,-1,-1,-1,-1,-1,-1,-1,234,-1,0.2
4180,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Scincidae","Tiliqua","Tiliqua scincoides","Eastern blue tongued skink",25,6,0.24,"-",6,4,0.16,0.666666667,2,0.08,0.333333333,"-",25,6,25,14,"-",-1,-1,4,16.3182117,16.3182117,10,-1,-1,14,-1,493,-1,319.2,-1,0.2
3335,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Colubridae","Pituophis","Pituophis catenifer","Albino bull snake",25,9,0.36,"-",9,8,0.32,0.888888889,1,0.04,0.111111111,"-",25,9,25,11,"-",-1,-1,-1,-1,13.37032745,5.5,-1,-1,-1,-1,7275.5,-1,405.6,-1,0.2
1360,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Teiidae","Cnemidophorus","Cnemidophorus uniparens","Cnemidophorus uniparens",24,0,0,"-",0,0,0,NA,0,0,NA,"-",24,0,24,2,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.204124145
2487,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Colubridae","Langaha","Langaha madagascariensis","Madagascar leaf-nosed snake",24,0,0,"-",0,0,0,NA,0,0,NA,"-",24,0,24,4,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.204124145
1175,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Boidae","Lichanura","Lichanura trivirgata","Rosy boa",24,4,0.166666667,"-",4,2,0.083333333,0.5,2,0.083333333,0.5,"-",24,4,24,13,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.204124145
3615,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Pythonidae","Python","Python bivittatus","Indian rock python",24,8,0.333333333,"-",13,5,0.208333333,0.769230769,3,0.125,0.230769231,"-",29,13,24,16,"-",35.99605523,35.99605523,3.001972387,-1,109.5,27.5,-1,-1,111.2,-1,17100,-1,410.4,-1,0.204124145
3725,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Boidae","Sanzinia","Sanzinia madagascariensis","Madagscar tree boa",23,4,0.173913043,"-",4,3,0.130434783,0.75,1,0.043478261,0.25,"-",23,4,23,10,"-",-1,0.378040763,0.716633794,-1,11.5,-1,-1,-1,-1,-1,-1,-1,261.6,-1,0.208514414
4261,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Scincidae","Tribolonotus","Tribolonotus pseudoponceleti","False poncelet's helmet skink",23,0,0,"-",0,0,0,NA,0,0,NA,"-",23,0,23,7,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.208514414
4463,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Varanidae","Varanus","Varanus salvadorii","Varanus salvadorii",23,1,0.043478261,"-",0,0,0,NA,0,0,NA,"-",23,1,23,11,"-",-1,-1,3.502301118,-1,7.911436362,7.14,-1,-1,55,-1,51500,-1,240,-1,0.208514414
3257,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Gekkonidae","Phelsuma","Phelsuma standingi","Standings day gecko",22,0,0,"-",0,0,0,NA,0,0,NA,"-",22,0,22,11,"-",-1,-1,-1,-1,3.797489454,-1,-1,-1,-1,-1,214.5,-1,115.2,-1,0.213200716
647,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Corytophanidae","Basiliscus","Basiliscus plumifrons","Plumed basilik",22,0,0,"-",0,0,0,NA,0,0,NA,"-",22,0,22,11,"-",-1,-1,-1,-1,5.142433636,11,-1,-1,-1,-1,66.2,-1,156,-1,0.213200716
1745,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Anguidae","Elgaria","Elgaria kingii","Elgaria kingii",22,1,0.045454545,"-",1,1,0.045454545,1,0,0,0,"-",22,1,22,12,"-",-1,-1,-1,-1,4.865533363,10.5,-1,-1,-1,-1,10,-1,147.6,-1,0.213200716
72,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Boidae","Acrantophis","Acrantophis dumerili","Dumerils boa",22,4,0.181818182,"-",4,2,0.090909091,0.5,2,0.090909091,0.5,"-",22,4,22,14,"-",-1,-1,-1,-1,10.28486727,-1,-1,-1,-1,-1,-1,-1,312,-1,0.213200716
3941,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Colubridae","Pantherophis","Spilotes pullatus","Tiger rat snake",21,2,0.095238095,"-",2,2,0.095238095,1,0,0,0,"-",21,2,21,12,"-",-1,0.511176857,0.575279421,-1,15.55,-1,-1,-1,-1,-1,-1,-1,210,-1,0.21821789
3252,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Gekkonidae","Phelsuma","Phelsuma grandis","Madagascar giant day gecko",21,2,0.095238095,"-",14,2,0.095238095,0.714285714,0,0,0.285714286,"-",33,14,21,14,"-",-1,-1,-1,-1,5.379776726,-1,-1,-1,-1,-1,20.7,-1,163.2,-1,0.21821789
3879,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Viperidae","Sistrurus","Sistrurus miliarius","Pigmy rattlesnake",21,2,0.095238095,"-",2,1,0.047619048,0.5,1,0.047619048,0.5,"-",21,2,21,11,"-",-1,-1,-1,-1,6.368706272,-1,-1,-1,-1,-1,196,-1,193.2,-1,0.21821789
125,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Viperidae","Agkistrodon","Agkistrodon contortrix","Copperhead",21,2,0.095238095,"-",2,1,0.047619048,0.5,1,0.047619048,0.5,"-",21,2,21,11,"-",23.99737015,23.99737015,3.533859303,-1,73,5.65,-1,-1,-1,-1,950,-1,357.6,-1,0.21821789
117,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Agamidae","Agama","Agama agama","Red headed rock agama",20,0,0,"-",0,0,0,NA,0,0,NA,"-",20,0,20,6,"-",-1,-1,3.28731098,0.042735043,0.042735043,-1,4.8,1.3,-1,-1,755,-1,-1,-1,0.223606798
4403,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Agamidae","Uromastyx","Uromastyx geyri","Dabb lizard",20,0,0,"-",0,0,0,NA,0,0,NA,"-",20,0,20,4,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.223606798
357,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Dactyloidae","Anolis","Anolis equestris","Knight anole",20,4,0.2,"-",8,3,0.15,1,0,0,0,"-",25,9,20,7,"-",-1,-1,-1,-1,6.526934999,-1,-1,-1,-1,-1,56,-1,198,-1,0.223606798
